Ellen_IT01V_packetsRecieved ,Aadya_IT01V_packetsRecieved ,Ellen_IT01V_packetsLost ,Aadya_IT01V_packetsLost ,Ellen_IT01V_frameWidth ,Aadya_IT01V_frameWidth ,Ellen_IT01V_totalFreezesDuration ,Aadya_IT01V_totalFreezesDuration ,Ellen_IT01V_framesPerSecond ,Aadya_IT01V_framesPerSecond ,Ellen_IT01V_bytesReceived_in_bits/s ,Aadya_IT01V_bytesReceived_in_bits/s ,Ellen_IT01V_totalProcessingDelay ,Aadya_IT01V_totalProcessingDelay ,Ellen_IT01V_jitter ,Aadya_IT01V_jitter ,Ellen_IT01A_bytesReceived_in_bits/s ,Aadya_IT01A_bytesReceived_in_bits/s ,Ellen_OT01V_packetsSent/s ,Aadya_OT01V_packetsSent/s ,Ellen_OT01V_bytesSent_in_bits/s ,Aadya_OT01V_bytesSent_in_bits/s ,Ellen_OT01V_frameWidth ,Aadya_OT01V_frameWidth ,Ellen_OT01V_framesPerSecond ,Aadya_OT01V_framesPerSecond ,Ellen_OT01V_totalPacketSendDelay ,Aadya_OT01V_totalPacketSendDelay ,Ellen_OT01V_totalPacketSendDelay/packetsSent_in_ms ,Aadya_OT01V_totalPacketSendDelay/packetsSent_in_ms ,Ellen_OT01V_qualityLimitationReason ,Aadya_OT01V_qualityLimitationReason ,Ellen_OT01V_qualityLimitationResolutionChanges ,Aadya_OT01V_qualityLimitationResolutionChanges ,Ellen_RIV_roundTripTime ,Aadya_RIV_roundTripTime ,Ellen_RIV_fractionLost ,Aadya_RIV_fractionLost ,Ellen_RIA_fractionLost ,Aadya_RIA_fractionLost ,Ellen_ROA_roundTripTime ,Aadya_ROA_roundTripTime ,Ellen_SV2_width ,Aadya_SV2_width ,Ellen_SV2_framesPerSecond ,Aadya_SV2_framesPerSecond ,Ellen_AP_totalPlayoutDelay ,Aadya_AP_totalPlayoutDelay
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,-1                                  ,-1                                  ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,-1                         ,                   0.0
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,-1                                  ,0.0                                 ,-1                        ,0.0                       ,-1                              ,0.0                             ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,0.0                              ,-1                                                 ,0.0                                                ,-1                                  ,"""none"""                          ,-1                                             ,0.0                                            ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,-1                         ,                1374.7728
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,-1                                  ,0.0                                 ,-1                        ,0.0                       ,-1                              ,0.0                             ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,0.0                              ,-1                                                 ,0.0                                                ,-1                                  ,"""none"""                          ,-1                                             ,0.0                                            ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,-1                         ,                3426.68208
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,-1                                  ,0.0                                 ,-1                        ,0.0                       ,-1                              ,0.0                             ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,0.0                              ,-1                                                 ,0.0                                                ,-1                                  ,"""none"""                          ,-1                                             ,0.0                                            ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,-1                         ,                5478.4224
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,-1                                  ,0.0                                 ,-1                        ,0.0                       ,-1                              ,0.0                             ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,0.0                              ,-1                                                 ,0.0                                                ,-1                                  ,"""none"""                          ,-1                                             ,0.0                                            ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,0.0                        ,                7529.76144
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,0.0                                 ,0.0                                 ,0.0                       ,0.0                       ,0.0                             ,0.0                             ,-1                     ,-1                     ,-1                          ,-1                          ,0.0                              ,0.0                              ,0.0                                                ,0.0                                                ,"""none"""                          ,"""none"""                          ,0.0                                            ,0.0                                            ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,770.569884                 ,                9581.66016
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,0.0                                 ,0.0                                 ,0.0                       ,0.0                       ,0.0                             ,0.0                             ,-1                     ,-1                     ,-1                          ,-1                          ,0.0                              ,0.0                              ,0.0                                                ,0.0                                                ,"""none"""                          ,"""none"""                          ,0.0                                            ,0.0                                            ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,1993.584159                ,               11633.34048
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,0.0                                 ,0.0                                 ,0.0                       ,0.0                       ,0.0                             ,0.0                             ,-1                     ,-1                     ,-1                          ,-1                          ,0.0                              ,0.0                              ,0.0                                                ,0.0                                                ,"""none"""                          ,"""none"""                          ,0.0                                            ,0.0                                            ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,3216.536253                ,               13684.92528
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,0.0                                 ,0.0                                 ,0.0                       ,0.0                       ,0.0                             ,0.0                             ,-1                     ,-1                     ,-1                          ,-1                          ,0.0                              ,0.0                              ,0.0                                                ,0.0                                                ,"""none"""                          ,"""none"""                          ,0.0                                            ,0.0                                            ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,4439.448216                ,               15736.5144
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,0.0                                 ,0.0                                 ,0.0                       ,0.0                       ,0.0                             ,0.0                             ,-1                     ,-1                     ,-1                          ,-1                          ,0.0                              ,0.0                              ,0.0                                                ,0.0                                                ,"""none"""                          ,"""none"""                          ,0.0                                            ,0.0                                            ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,5662.358856                ,               17788.0848
